gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	acceptedScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated
1933317786																										urn:uuid:c815c359-c122-46a9-bc70-48216e19ac90										CC_BY_4_0																							nbf	so2-mosses			PRESERVED_SPECIMEN				urn:uuid:c815c359-c122-46a9-bc70-48216e19ac90	20465817	None	Anders Breili	0									None			None			None	None											2018-10-10T00:00:00Z				2018	10	10			None													NO	Sogn og Fjordane	Sogn og Fjordane		Norddalen, Bremanger, Sf		None	None					61.710541	5.039315	10.0			None	None									None																				None															Herbertus stramineus (Dumort.) Trevis.								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Herbertaceae	Herbertus		stramineus		SPECIES				ACCEPTED			b124e1e0-4755-430f-9eab-894f25a9b59c	NO	2018-11-03T07:55:27.288Z							GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED		true	false	4276928	4276928	6	9	126	381	2282	2689385		4276928	Herbertus stramineus	Herbertus	Herbertus stramineus (Dumort.) Trevis.		DWC_ARCHIVE	2018-11-03T07:55:27.282Z	2018-11-18T22:32:44.401Z	true
1933315222																										urn:uuid:c5ce5565-94ca-41c2-bd76-2e97108d12dd										CC_BY_4_0																							nbf	so2-mosses			HUMAN_OBSERVATION				urn:uuid:c5ce5565-94ca-41c2-bd76-2e97108d12dd	20465797	None	Anders Breili	0									None			None			None	None											2018-10-10T00:00:00Z				2018	10	10			None													NO	Sogn og Fjordane	Sogn og Fjordane		Norddalen, Bremanger, Sf		None	None					61.71049	5.037034	10.0			None	None									None																				None															Herbertus stramineus (Dumort.) Trevis.								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Herbertaceae	Herbertus		stramineus		SPECIES				ACCEPTED			b124e1e0-4755-430f-9eab-894f25a9b59c	NO	2018-11-03T07:54:54.696Z							GEODETIC_DATUM_ASSUMED_WGS84;MULTIMEDIA_DATE_INVALID;COORDINATE_ROUNDED	STILLIMAGE	true	false	4276928	4276928	6	9	126	381	2282	2689385		4276928	Herbertus stramineus	Herbertus	Herbertus stramineus (Dumort.) Trevis.		DWC_ARCHIVE	2018-11-03T07:54:54.685Z	2018-11-18T22:31:41.904Z	true
1933138822																										urn:uuid:2ffbcfe9-0c48-4492-b233-bc5c86067545										CC_BY_4_0																							nbf	so2-mosses			HUMAN_OBSERVATION				urn:uuid:2ffbcfe9-0c48-4492-b233-bc5c86067545	20465889	None	Anders Breili	0									None			None			None	None											2018-10-10T00:00:00Z				2018	10	10			None													NO	Sogn og Fjordane	Sogn og Fjordane		Langevatnet, SV for, Bremanger, Sf		None	None					61.822658	5.425788	10.0			None	None									None																				None															Anastrophyllum donnianum (Hook.) Steph.								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Anastrophyllaceae	Anastrophyllum		donnianum		SPECIES				ACCEPTED			b124e1e0-4755-430f-9eab-894f25a9b59c	NO	2018-11-03T07:18:51.046Z							GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED		true	false	2689413	2689413	6	9	126	381	2292	2689412		2689413	Anastrophyllum donnianum	Anastrophyllum	Anastrophyllum donnianum (Hook.) Steph.		DWC_ARCHIVE	2018-11-03T07:18:51.014Z	2018-11-18T21:21:34.222Z	true
1933111693																										urn:uuid:19cd1f33-dacf-43c1-8099-26b31b8d5ec2										CC_BY_4_0																							nbf	so2-mosses			PRESERVED_SPECIMEN				urn:uuid:19cd1f33-dacf-43c1-8099-26b31b8d5ec2	20465805	None	Anders Breili	0									None			None			None	None											2018-10-10T00:00:00Z				2018	10	10			None													NO	Sogn og Fjordane	Sogn og Fjordane		Norddalen, Bremanger, Sf		None	None					61.710452	5.038309	10.0			None	None									None																				None															Herbertus stramineus (Dumort.) Trevis.								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Herbertaceae	Herbertus		stramineus		SPECIES				ACCEPTED			b124e1e0-4755-430f-9eab-894f25a9b59c	NO	2018-11-03T07:11:50.470Z							GEODETIC_DATUM_ASSUMED_WGS84;MULTIMEDIA_DATE_INVALID;COORDINATE_ROUNDED	STILLIMAGE	true	false	4276928	4276928	6	9	126	381	2282	2689385		4276928	Herbertus stramineus	Herbertus	Herbertus stramineus (Dumort.) Trevis.		DWC_ARCHIVE	2018-11-03T07:11:50.445Z	2018-11-18T21:11:34.912Z	true
1933083445																										urn:uuid:06784323-66c9-4f0e-aae0-d79a49939162										CC_BY_4_0																							nbf	so2-mosses			HUMAN_OBSERVATION				urn:uuid:06784323-66c9-4f0e-aae0-d79a49939162	20465884	None	Anders Breili	0									None			None			None	None											2018-10-10T00:00:00Z				2018	10	10			None													NO	Sogn og Fjordane	Sogn og Fjordane		Langevatnet, SV for, Bremanger, Sf		None	None					61.8215	5.422878	10.0			None	None									None																				None															Anastrophyllum donnianum (Hook.) Steph.								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Anastrophyllaceae	Anastrophyllum		donnianum		SPECIES				ACCEPTED			b124e1e0-4755-430f-9eab-894f25a9b59c	NO	2018-11-03T07:05:25.848Z							GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED		true	false	2689413	2689413	6	9	126	381	2292	2689412		2689413	Anastrophyllum donnianum	Anastrophyllum	Anastrophyllum donnianum (Hook.) Steph.		DWC_ARCHIVE	2018-11-03T07:05:25.744Z	2018-11-18T21:02:46.513Z	true
1928595338																										3a7e02fd-8fff-4875-8992-ffe6013c2447									en	CC0_1_0						http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1606635					The New York Botanical Garden							PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:15556	http://biocol.org/urn:lsid:biocol.org:col:15556		NY	NY	Hepatics		PRESERVED_SPECIMEN				3a7e02fd-8fff-4875-8992-ffe6013c2447	01319240	s.n.	E. H. JÃ¶rgensen										packeted																		1903-07-20T00:00:00Z		201	201	1903	7	20	20 Jul 1903											EUROPE				NO				Endestadnipen in Eikefjord, unweit FlorÃ¶, auf nassen, grasigen Absiitzen.		1148-1312 ft						0.0	0.0																																		n. sp.	TYPE														Anastrophyllum joergensenii Schiffn.								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Anastrophyllaceae	Anastrophyllum		joergensenii		SPECIES			ICN	ACCEPTED			d415c253-4d61-4459-9d25-4015b9084fb0	US	2018-11-18T15:00:26.305Z	375.0	25.0					COUNTRY_COORDINATE_MISMATCH;COORDINATE_UNCERTAINTY_METERS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;ZERO_COORDINATE	STILLIMAGE	true	true	7800507	7800507	6	9	126	381	2292	2689412		7800507	Anastrophyllum joergensenii	Anastrophyllum	Anastrophyllum joergensenii Schiffn.		DWC_ARCHIVE	2018-11-18T14:50:39.704Z	2018-11-18T14:50:39.628Z	false
1890269680																										urn:uuid:240ea49b-8779-4154-96fe-334cc1c660d5										CC_BY_4_0																							nbf	so2-mosses			HUMAN_OBSERVATION				urn:uuid:240ea49b-8779-4154-96fe-334cc1c660d5	20003781	None	Ove Sander Førland	0									None			None			None	None											2018-07-26T00:00:00Z				2018	7	26			None													NO	Rogaland	Rogaland		Krossfjellet, Strand, Ro		None	None					59.05397	6.185763	5.0			None	None									None																				None															Anastrophyllum donnianum (Hook.) Steph.								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Anastrophyllaceae	Anastrophyllum		donnianum		SPECIES				ACCEPTED			b124e1e0-4755-430f-9eab-894f25a9b59c	NO	2018-11-18T21:16:07.869Z							GEODETIC_DATUM_ASSUMED_WGS84;MULTIMEDIA_DATE_INVALID;COORDINATE_ROUNDED	STILLIMAGE	true	false	2689413	2689413	6	9	126	381	2292	2689412		2689413	Anastrophyllum donnianum	Anastrophyllum	Anastrophyllum donnianum (Hook.) Steph.		DWC_ARCHIVE	2018-11-18T21:16:07.823Z	2018-11-18T21:16:07.818Z	true
1837443009																										urn:catalog:O:B:68631/1										CC_BY_4_0			2017-01-10T00:00:00Z																				O	B			PRESERVED_SPECIMEN				urn:catalog:O:B:68631/1	68631/1	TH10-M096	Torbjørn Høitomt, Kjell Magne Olsen																												2010-09-10T00:00:00Z				2010	9	10																NO	Akershus	Skedsmo		Isakbekken, SV for								59.9494	11.0827																																				Torbjørn Høitomt	2010-09-10T00:00:00Z												Fissidens exilis Hedwig, 1801								Plantae	Bryophyta	Bryopsida	Fissidentales	Fissidentaceae	Fissidens		exilis		SPECIES				ACCEPTED			68a0650f-96ae-499c-8b2a-a4f92c01e4b3	NO	2018-07-07T16:46:48.515Z							GEODETIC_DATUM_ASSUMED_WGS84		true	false	5283214	5283214	6	35	327	1336	4643	2673216		5283214	Fissidens exilis	Fissidens	Fissidens exilis Hedwig, 1801		DWC_ARCHIVE	2018-04-06T08:29:46.770Z	2018-11-25T14:56:37.628Z	true
1837442620																										urn:catalog:O:B:60959/1										CC_BY_4_0			2018-02-28T00:00:00Z																				O	B			PRESERVED_SPECIMEN				urn:catalog:O:B:60959/1	60959/1		Perry G. Larsen, Dag Holtan																												2010-06-23T00:00:00Z				2010	6	23																NO	Møre og Romsdal	Sykkylven		Reindalen								62.28333	6.63573	1.0																																			Perry G. Larsen, Dag Holtan	2010-06-23T00:00:00Z												Anastrophyllum donnianum (Hook.) Steph.								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Anastrophyllaceae	Anastrophyllum		donnianum		SPECIES				ACCEPTED			68a0650f-96ae-499c-8b2a-a4f92c01e4b3	NO	2018-07-07T16:43:23.762Z							GEODETIC_DATUM_ASSUMED_WGS84		true	false	2689413	2689413	6	9	126	381	2292	2689412		2689413	Anastrophyllum donnianum	Anastrophyllum	Anastrophyllum donnianum (Hook.) Steph.		DWC_ARCHIVE	2018-04-06T08:29:40.047Z	2018-11-25T14:56:31.703Z	true
1837442603																										urn:catalog:O:B:67566/1										CC_BY_4_0			2016-06-20T00:00:00Z																				O	B			PRESERVED_SPECIMEN				urn:catalog:O:B:67566/1	67566/1	36175	Kåre Arnstein Lye																												2012-09-12T00:00:00Z				2012	9	12																NO	Østfold	Spydeberg		Spydeberg k.: Dalen, ved Glomma 100 m nord for odden								59.5897	11.0907																																				Kåre Arnstein Lye	2012-09-12T00:00:00Z												Fissidens exilis Hedwig, 1801								Plantae	Bryophyta	Bryopsida	Fissidentales	Fissidentaceae	Fissidens		exilis		SPECIES				ACCEPTED			68a0650f-96ae-499c-8b2a-a4f92c01e4b3	NO	2018-07-11T17:44:08.771Z							GEODETIC_DATUM_ASSUMED_WGS84		true	false	5283214	5283214	6	35	327	1336	4643	2673216		5283214	Fissidens exilis	Fissidens	Fissidens exilis Hedwig, 1801		DWC_ARCHIVE	2018-07-11T17:44:08.750Z	2018-11-25T14:56:31.231Z	true
