gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
1933317786																										urn:uuid:c815c359-c122-46a9-bc70-48216e19ac90																																	nbf	so2-mosses			PreservedSpecimen				urn:uuid:c815c359-c122-46a9-bc70-48216e19ac90	20465817	None	Anders Breili	0				None					None		None		None			None	None															2018	10	10			None									None				NORWAY		Sogn og Fjordane	Sogn og Fjordane		Norddalen, Bremanger, Sf				None			None					61.710541	5.0393152		10			None			None	None									None																				None			None												Herbertus stramineus								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Herbertaceae	Herbertus		None	None			(Dumort.) Trevis.					
1933315222																										urn:uuid:c5ce5565-94ca-41c2-bd76-2e97108d12dd																																	nbf	so2-mosses			HumanObservation				urn:uuid:c5ce5565-94ca-41c2-bd76-2e97108d12dd	20465797	None	Anders Breili	0				None					None		None		None			None	None															2018	10	10			None									None				NORWAY		Sogn og Fjordane	Sogn og Fjordane		Norddalen, Bremanger, Sf				None			None					61.7104899	5.0370335		10			None			None	None									None																				None			None												Herbertus stramineus								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Herbertaceae	Herbertus		None	None			(Dumort.) Trevis.					
1933138822																										urn:uuid:2ffbcfe9-0c48-4492-b233-bc5c86067545																																	nbf	so2-mosses			HumanObservation				urn:uuid:2ffbcfe9-0c48-4492-b233-bc5c86067545	20465889	None	Anders Breili	0				None					None		None		None			None	None															2018	10	10			None									None				NORWAY		Sogn og Fjordane	Sogn og Fjordane		Langevatnet, SV for, Bremanger, Sf				None			None					61.8226583	5.4257884		10			None			None	None									None																				None			None												Anastrophyllum donnianum								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Anastrophyllaceae	Anastrophyllum		None	None			(Hook.) Steph.					
1933111693																										urn:uuid:19cd1f33-dacf-43c1-8099-26b31b8d5ec2																																	nbf	so2-mosses			PreservedSpecimen				urn:uuid:19cd1f33-dacf-43c1-8099-26b31b8d5ec2	20465805	None	Anders Breili	0				None					None		None		None			None	None															2018	10	10			None									None				NORWAY		Sogn og Fjordane	Sogn og Fjordane		Norddalen, Bremanger, Sf				None			None					61.7104516	5.0383091		10			None			None	None									None																				None			None												Herbertus stramineus								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Herbertaceae	Herbertus		None	None			(Dumort.) Trevis.					
1933083445																										urn:uuid:06784323-66c9-4f0e-aae0-d79a49939162																																	nbf	so2-mosses			HumanObservation				urn:uuid:06784323-66c9-4f0e-aae0-d79a49939162	20465884	None	Anders Breili	0				None					None		None		None			None	None															2018	10	10			None									None				NORWAY		Sogn og Fjordane	Sogn og Fjordane		Langevatnet, SV for, Bremanger, Sf				None			None					61.8215003	5.4228778		10			None			None	None									None																				None			None												Anastrophyllum donnianum								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Anastrophyllaceae	Anastrophyllum		None	None			(Hook.) Steph.					
1928595338																										3a7e02fd-8fff-4875-8992-ffe6013c2447									en				2016-9-30T04:52+0400			http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1606635					The New York Botanical Garden							PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:15556	http://biocol.org/urn:lsid:biocol.org:col:15556		NY	NY	Hepatics		PreservedSpecimen				3a7e02fd-8fff-4875-8992-ffe6013c2447	01319240	s.n.	E. H. JÃ¶rgensen										packeted																			1903-07-20		201	201	1903	7	20	20 Jul 1903											Europe				Norway					Endestadnipen in Eikefjord, unweit FlorÃ¶, auf nassen, grasigen Absiitzen.		350	400	1148-1312 ft								0	0		0																																				n. sp.	type														Anastrophyllum joergensenii Schiffn.								Plantae	Marchantiophyta			Anastrophyllaceae	Anastrophyllum		joergensenii		Species				ICN			
1890269680																										urn:uuid:240ea49b-8779-4154-96fe-334cc1c660d5																																	nbf	so2-mosses			HumanObservation				urn:uuid:240ea49b-8779-4154-96fe-334cc1c660d5	20003781	None	Ove Sander Førland	0				None					None		None		None			None	None															2018	7	26			None									None				NORWAY		Rogaland	Rogaland		Krossfjellet, Strand, Ro				None			None					59.0539699	6.1857631		5			None			None	None									None																				None			None												Anastrophyllum donnianum								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Anastrophyllaceae	Anastrophyllum		None	None			(Hook.) Steph.					
1837443009																										urn:catalog:O:B:68631/1													2017-01-10																				O	B			PreservedSpecimen				urn:catalog:O:B:68631/1	68631/1	TH10-M096	Torbjørn Høitomt, Kjell Magne Olsen																																	2010	09	10												EU				Norway		Akershus	Skedsmo		Isakbekken, SV for												59.9494	11.0827																																								Torbjørn Høitomt	2010-09-10												Fissidens exilis								Plantae	Bryophyta	Bryopsida	Dicranales	Fissidentaceae	Fissidens						Hedw.					
1837442620																										urn:catalog:O:B:60959/1													2018-02-28																				O	B			PreservedSpecimen				urn:catalog:O:B:60959/1	60959/1		Perry G. Larsen, Dag Holtan																																	2010	06	23												EU				Norway		Møre og Romsdal	Sykkylven		Reindalen												62.28333	6.63573		1																																						Perry G. Larsen, Dag Holtan	2010-06-23												Anastrophyllum donnianum								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Anastrophyllaceae	Anastrophyllum						(Hook.) Steph.					
1837442603																										urn:catalog:O:B:67566/1													2016-06-20																				O	B			PreservedSpecimen				urn:catalog:O:B:67566/1	67566/1	36175	Kåre Arnstein Lye																																	2012	09	12												EU				Norway		Østfold	Spydeberg		Spydeberg k.: Dalen, ved Glomma 100 m nord for odden												59.5897	11.0907																																								Kåre Arnstein Lye	2012-09-12												Fissidens exilis								Plantae	Bryophyta	Bryopsida	Dicranales	Fissidentaceae	Fissidens						Hedw.					
