Slekt	Art	PopulærnavnBokmål	PopulærnavnNynorsk
Sphagnum	divinum	abelstorvmose	abelstorvmose
Artemisia	abrotanum	abrodd	abrodd
Artemisia	paniculata	abrodd	abrodd
Solanum	adventitium	adventivsøtvier	adventivsøtvier
Solanum	americanum	adventivsøtvier	adventivsøtvier
Solanum	curtipes	adventivsøtvier	adventivsøtvier
Eleusine	africana	afrikahirse	afrikahirse
Eleusine	indica	afrikahirse	afrikahirse
Chenopodium	foetidum	afrikamelde	afrikamelde
Chenopodium	schraderanum	afrikamelde	afrikamelde
Dysphania	schraderiana	afrikamelde	afrikamelde
Chenopodium	schraderianum	afrikamelde	afrikamelde
Carex	divulsa	agderstarr	agderstorr
Carex	divulsa	agderstarr	agderstorr
Carex	leersi	agderstarr	agderstorr
Carex	leersii	agderstarr	agderstorr
Carex	muricata	agderstarr	agderstorr
Carex	polyphylla	agderstarr	agderstorr
Carpinus	betulus	agnbøk	agnbøk
Cirriphyllum	filiforme	agnelundmose	agnelundmose
Sciuro-hypnum	flotowianum	agnelundmose	agnelundmose
Hypnum	flotowianum	agnelundmose	agnelundmose
Eurhynchium	flotowianum	agnelundmose	agnelundmose
Hypnum	reichenbachianum	agnelundmose	agnelundmose
Cirriphyllum	reichenbachianum	agnelundmose	agnelundmose
Hypnum	velutinoides	agnelundmose	agnelundmose
Eurhynchium	velutinoides	agnelundmose	agnelundmose
Cirriphyllum	velutinoides	agnelundmose	agnelundmose
Uncinia	microglochin	agnorstarr	agnorstorr
Carex	microglochin	agnorstarr	agnorstorr
Cucumis	sativus	agurk	agurk
Borrago	officinalis	agurkurt	agurkurt
Borago	officinalis	agurkurt	agurkurt
Aquilegia	vulgaris	akeleie	akeleie
Thalictrum	aquilegifolium	akeleiefrøstjerne	akeleiefrøstjerne
Thalictrum	aquilegiifolium	akeleiefrøstjerne	akeleiefrøstjerne
Lophozia	latifolia	aksflik	aksflik
Luzula	spicata	aksfrytle	aksfrytle
Juncus	spicatus	aksfrytle	aksfrytle
Cephalozia	macrostachya	aksglefsemose	aksglefsemose
Cephalozia	macrostachya	aksglefsemose	aksglefsemose
Cephalozia	multiflora	aksglefsemose	aksglefsemose
Cephalozia	spiniflora	aksglefsemose	aksglefsemose
Verbena	rigida	aksjernurt	aksjernurt
Cryphaea	heteromalla	aksmose	aksmose
Ligularia	przewalskii	aksnøkketunge	aksnykketunge
Dicranum	bonjeanii	akssigd	akssigd
Dicranum	bonjeanii	akssigd	akssigd
Dicranum	leioneuron	akssigd	akssigd
Liatris	spicata	akssøyleblom	akssøyleblom
Myriophyllum	spicatum	akstusenblad	akstusenblad
Myriophyllum	spicatum	akstusenblad	akstusenblad
Scapania	aequiloba	akstvebladmose	akstvebladmose
Martinellia	aequiloba	akstvebladmose	akstvebladmose
Jungermannia	aequiloba	akstvebladmose	akstvebladmose
Scapania	minuta	akstvebladmose	akstvebladmose
Scapania	rupestris	akstvebladmose	akstvebladmose
Radula	rupestris	akstvebladmose	akstvebladmose
Martinellia	rupestris	akstvebladmose	akstvebladmose
Jungermannia	rupestris	akstvebladmose	akstvebladmose
Scapania	tyrolensis	akstvebladmose	akstvebladmose
Martinellia	tyrolensis	akstvebladmose	akstvebladmose
Jungermannia	tyrolensis	akstvebladmose	akstvebladmose
Veronica	spicata	aksveronika	aksveronika
Pseudolysimachium	spicatum	aksveronika	aksveronika
Pseudolysimachion	spicatum	aksveronika	aksveronika
Inula	helenium	alantrot	alantrot
Sanguisorba	×menziesii	alaskablodtopp	alaskablodtopp
Sanguisorba	menziesii	alaskablodtopp	alaskablodtopp
Sanguisorba	x menziesii	alaskablodtopp	alaskablodtopp
Sanguisorba	xmenziesii	alaskablodtopp	alaskablodtopp
Cornus	alba	alaskakornell	alaskakornell
Thelycrania	sericea	alaskakornell	alaskakornell
Swida	sericea	alaskakornell	alaskakornell
Svida	sericea	alaskakornell	alaskakornell
Cornus	sericea	alaskakornell	alaskakornell
Thelycrania	stolonifera	alaskakornell	alaskakornell
Cornus	stolonifera	alaskakornell	alaskakornell
Epilobium	adenocaulon	alaskamjølke	alaskamjølke
Epilobium	ciliatum	alaskamjølke	alaskamjølke
Epilobium	ciliatum	alaskamjølke	alaskamjølke
Epilobium	glandulosum	alaskamjølke	alaskamjølke
Salix	alaxensis	alaskavier	alaskavier
Salix	speciosa	alaskavier	alaskavier
Rosa	×alba	albarose	albarose
Centaurea	algeriensis	algerieknoppurt	algerieknoppurt
Rubus	allegheniensis	alleghenybjørnebær	alleghenybjørnebær
Ulmus	glabra	alm	alm
Orthotrichum	philibertii	almebustehette	almebustehette
Orthotrichum	schimperi	almebustehette	almebustehette
Tortula	laevipila	almehårstjerne	almehårstjerne
Tortula	laevipila	almehårstjerne	almehårstjerne
